,imodulon_size,explained_variance
0,64.0,0.05100155138911089
1,67.0,0.022769770340434814
2,174.0,0.0032960675476007006
3,28.0,0.006636905483848432
4,14.0,0.005571048721748961
5,317.0,0.022297722095005135
6,4.0,0.033854548313565935
7,72.0,0.014793013551999912
8,18.0,0.024012906135720602
9,33.0,0.026244805157009443
10,15.0,0.03986496239672921
11,136.0,0.038922173272463945
12,68.0,0.010907409047856809
13,96.0,0.03207788380076093
14,26.0,0.009535010216482731
15,224.0,0.004825065273637352
16,123.0,0.024130857955226848
17,67.0,0.027163569693516854
18,10.0,0.020790179355606897
19,207.0,0.08574053220084743
